"Country","Year","Electricity","No_Electricity","Clean_Fuels","No_Clean_Fuels","Electricity_Access_Rate","Clean_Fuels_Access_Rate"
"Comoros",2019,715158.9154,135732.0846,25161.7890764706,636744.21092353,0.840482406559712,0.0380141426070629
"Congo",2019,2600382.698,2780121.302,802835.40915,3511874.25766667,0.483297233493368,0.186069393109901
"Costa Rica",2019,5032923.073,14637.9269,4055923.36635294,396375.986658824,0.997099999999942,0.910972745713809
"Cote d'Ivoire",2019,17628726.02,8087827.98,3533755.92664706,16286688.7794118,0.685501098630866,0.178288427886123
"Cuba",2019,11310817.03,22666.968,8408748.957,2836961.57252941,0.997999999999647,0.747729450702113
"Democratic Republic of Congo",2019,16576998.49,70213569.51,2307643.53952941,59049859.0476471,0.191000000023044,0.0376098022609496
"Djibouti",2019,596556.1655,377000.8345,65720.3244352941,754476.087329412,0.612759361290607,0.0801275444425471
"Dominica",2019,71808,6040.19971015591,60392.6131058824,10240.1516,0.922410540864853,0.855022642216535
"Dominican Republic",2019,10738957,661435.308375862,8128080.00623529,1321410.46442353,0.941981355510906,0.860160664902877
"Ecuador",2019,17373657,540316.45558,13434964.3329412,1111434.54868824,0.969838268605244,0.923593835303674
"Egypt",2019,100388076,1224825.30941071,75209944.9217647,5278252.54823529,0.98794616339434,0.934422030631228
"El Salvador",2019,6453550,741647.395058621,4488894.84258824,1640313.62817059,0.896924663169359,0.732377575995957
"Equatorial Guinea",2019,902977.9518,453004.0482,363453.07915,736629.087516667,0.665921783475002,0.330387211212859
"Eritrea",2019,593908.719448,1198780.12064,264151.377683333,2550638.95566667,0.331294927578646,0.0938440687939111
"Eswatini",2019,886010.0981,262122.9019,418137.97384375,639020.02615625,0.771696395887933,0.395530255499887
"Ethiopia",2019,54102219.11,57976507.89,2035599.77868125,81861145.658125,0.482716217056962,0.024263155478594
"Fiji",2019,889955,119731.585361875,300805.532217647,541559.408958824,0.881417078232288,0.357096452515621
"Gabon",2019,1970207.942,202370.0581,1112607.40528235,448806.006488235,0.906852569578314,0.712564268306556
"Gambia",2019,1406769.671,940926.3294,54690.4535235294,1651320.723,0.599212875415009,0.0320575001360638
"Georgia",2019,3720161,5057.67082055556,2402259.65386667,1419427.41299333,0.99864231572225,0.628586174597604
"Ghana",2019,25398911.43,5018946.57,3142360.46335294,20535537.7135294,0.835,0.132712812593347
"Grenada",2019,106882.099,5119.900995,100981.110858824,4988.88914117647,0.954287414553057,0.952921684050425
"Guatemala",2019,15894132.7,709893.3049,5870397.4627647,7858600.41970588,0.957245712293482,0.427591111384767
"Guinea",2019,5417356.728,7353889.272,120548.400041176,9705341.65941177,0.424183883702499,0.0122684458417285
"Guinea-Bissau",2019,596260.5683,1324656.432,22751.7872090909,1547329.66745455,0.31040412896907,0.0144908323969504
"Guyana",2019,720322.7868,62452.21322,424287.343258824,327441.362623529,0.92021690368445,0.564415513121599
